product_category_id;product_category_name                                    ;parent_product_category_id
2580               ;Пшоно                                                    ;770
2590               ;Рис                                                      ;770
2600               ;Сочевиця                                                 ;770
2610               ;Чіа                                                      ;770
2620               ;Ячна крупа                                               ;770
#
#
2630               ;Ванілін                                                  ;800
2640               ;Цукор ванільний                                          ;800
2650               ;Дріжджі                                                  ;800
2660               ;Згущувач, желатин                                        ;800
2670               ;Какао                                                    ;800
2680               ;Крохмаль                                                 ;800
2690               ;Основи для випічки                                       ;800
2700               ;Посипка і декорація, цукрова пудра                       ;800
2710               ;Розпушувач                                               ;800
2720               ;Сода                                                     ;800
#
#
2730               ;Батончики, здорове харчування                            ;820
2740               ;Каші                                                     ;820
2750               ;Мюслі                                                    ;820
2760               ;Пластвці                                                 ;820
2770               ;Екструдери                                               ;820
2780               ;Висівки                                                  ;820
#
#
2790               ;Аджика                                                   ;870
2981               ;Лечо                                                     ;870
2910               ;Овочева ікра                                             ;870
2920               ;Овочеве асорті, закуски                                  ;870
2930               ;Баклажани консервовані                                   ;870
2940               ;Квасоля консервована                                     ;870
2950               ;Огірки консервовані                                      ;870
2960               ;Перець консервований                                     ;870
2970               ;Помідори консервовані                                    ;870
#
#
2980               ;Оливки зелені                                            ;890
2990               ;Оливки чорні                                             ;890
#
#
3000               ;Морепродукти консервовані                                ;910
3010               ;Риба консервована                                        ;910
3020               ;Субпродукти рибні консервовані                           ;910
3030               ;Шпротна продукція                                        ;910
#
#
3040               ;Бальзамічний крем                                        ;950
3050               ;Бальзамічний оцет                                        ;950
3060               ;Столовий оцет                                            ;950
3070               ;Фруктовий оцет                                           ;950
3080               ;Сік концентрат                                           ;950
#
#
3090               ;Аджика                                                   ;970
3100               ;Заправка                                                 ;970
3110               ;Маринад                                                  ;970
3120               ;Кетчуп                                                   ;970
3130               ;Соус                                                     ;970
3140               ;Соуси для приготування                                   ;970
3150               ;Томатні пасти, пюре                                      ;970
#
#
3160               ;Гірчиця                                                  ;980
3170               ;Хрін                                                     ;980
#
#
3180               ;Ароматні трави                                           ;1000
3190               ;Смакові приправи до страв                                ;1000
3200               ;Універсальні приправи                                    ;1000
3210               ;Базилік                                                  ;1000
3220               ;Гвоздика                                                 ;1000
3230               ;Гірчиця                                                  ;1000
3240               ;Імбир                                                    ;1000
3250               ;Кардамон                                                 ;1000
3260               ;Каррі                                                    ;1000
3270               ;Кориця                                                   ;1000
3280               ;Коріандр                                                 ;1000
3290               ;Кунжут                                                   ;1000
3300               ;Куркума                                                  ;1000
3310               ;Лавровий лист                                            ;1000
3320               ;Мускатний горіх                                          ;1000
3330               ;Насіння льону                                            ;1000
3340               ;Орегано                                                  ;1000
3350               ;Розмарин                                                 ;1000
3360               ;Паприка                                                  ;1000
3370               ;Петрушка                                                 ;1000
#
#
3380               ;Цукерки                                                  ;1050
#
#
3381               ;Горіхи в сиропі                                          ;1050
3382               ;Нуга                                                     ;1050
3383               ;Халва                                                    ;1050
#
#
3390               ;Шоколад, плитка                                          ;1070
3400               ;Шоколадні батончики                                      ;1070
3410               ;Шоколадні яйця                                           ;1070
#
#
3420               ;Світле                                                   ;1480
3430               ;Темне                                                    ;1480
3440               ;Напівтемне                                               ;1480
3450               ;Червоне                                                  ;1480
3460               ;Янтарне                                                  ;1480
3470               ;З добавками                                              ;1480
3480               ;Нефільтроване                                            ;1480
3490               ;Український крафт                                        ;1480
3500               ;Безалкогольне                                            ;1480
#
#
3510               ;Сидр                                                     ;1490
3520               ;Слабоалкогольні коктейлі                                 ;1490
3530               ;Алкоенергетики                                           ;1490
#
#
3540               ;Догляд за обличчям                                       ;1530
3550               ;Догляд за руками і нігтями                               ;1530
3560               ;Догляд за ногами і ступнями                              ;1530
3570               ;Догляд за тілом                                          ;1530
3580               ;Манікюр, педикюр                                         ;1530
3600               ;Сонцезахисні засоби                                      ;1530
#
#
3610               ;Шампунь                                                  ;1540
3620               ;Бальзам і ополіскувач для волосся                        ;1540
3630               ;Маска для волосся                                        ;1540
3640               ;Спеціальний догляд                                       ;1540
3650               ;Для укладки                                              ;1540
#
#
3660               ;Бритва і леза                                            ;1550
3670               ;засоби для гоління                                       ;1550
3680               ;засоби після гоління                                     ;1550
3690               ;Для депіляції                                            ;1550
#
#
3780               ;Догляд за ротовою порожниною                             ;1560
3781               ;Догляд за ротовою порожниною                             ;1560
3790               ;Ватні диски і палички                                    ;1560
3800               ;Для жінок                                                ;1560
3810               ;Для інтимнго життя                                       ;1560
3820               ;Інше                                                     ;1560
#
#
3830               ;Косметика та інше                                        ;1570
#
#
3840               ;Для прання                                               ;1580
3850               ;Для прибирання                                           ;1580
3860               ;Для миття посуду                                         ;1580
3870               ;Для взуття і тканин                                      ;1580
3880               ;Освіжувачі повітря                                       ;1580
3890               ;Інсектициди                                              ;1580
#
#
3900               ;Серветки столові                                         ;1590
3910               ;Серветки в коробці                                       ;1590
3920               ;Вологі серветки                                          ;1590
3930               ;Носові серветки                                          ;1590
3940               ;Паперові рушники                                         ;1590
3950               ;Туалетний папір                                          ;1590
#
#
3960               ;Пакети для сміття                                        ;1600
3970               ;Товари для прибирання                                    ;1600
3980               ;Товари для приготування і зберігання подуктів            ;1600
3990               ;Для консервації                                          ;1600
4000               ;Товари для догляду за одягом                             ;1600
4010               ;Батарейки і ліхтарики                                    ;1600
4020               ;Батарейки і ліхтарики                                    ;1600
4030               ;Інші дрібниці                                            ;1600
#
#
4040               ;Ложки, виделки, мішалки, ножі                            ;1610
4050               ;Тарілки                                                  ;1610
4060               ;Склянки                                                  ;1610
4070               ;Набір посуду                                             ;1610
4080               ;Сумки, пакети для покупок                                ;1610
#
#
4090               ;Для сервірування столу                                   ;1620
4100               ;Для чаю, кави                                            ;1620
4110               ;Посуд для холодних напоїв                                ;1620
4120               ;Посуд для суші                                           ;1620
4130               ;Кухонні дрібниці                                         ;1620
4140               ;Кухонне начиння                                          ;1620
#
#
4150               ;Лампочки і елементи живлення                             ;1630
#
#
4160               ;Одяг                                                     ;1640
4170               ;Аксесуари                                                ;1640
#
#
4180               ;Дитячі канцтоври                                         ;1650
4190               ;Паперові вироби                                          ;1650
4200               ;Папки, файли та інше                                     ;1650
4210               ;Ручки, олівці, маркери                                   ;1650
4220               ;Для креслення                                            ;1650
4230               ;Канцелярські аксесуари                                   ;1650
#
#
4240               ;Запальнички сірники                                      ;1660
4250               ;Для пікніка                                              ;1660
4260               ;Для туризму і спорту                                     ;1660
#
#
4270               ;Замінники грудного молока                                ;1680
4280               ;Каші дитячі                                              ;1680
4290               ;Пюре дитячі                                              ;1680
4300               ;Напої дитячі                                             ;1680
4310               ;Печиво, сухарики, хлібці дитячі                          ;1680
#
#
4320               ;Підгузки                                                 ;1680
4330               ;Пелюшки                                                  ;1680
4340               ;Вологі серветки                                          ;1680
4350               ;Дитяча косметика та гігієна                              ;1680
#
#
4360               ;Українська кухня                                         ;10
4370               ;Грузинська кухня                                         ;10
4380               ;Італійська кухня                                         ;10
4390               ;Європейська кухня                                        ;10
4400               ;Американська кухня                                       ;10
4410               ;Близькосхідна кухня                                      ;10
4420               ;Міжнародні страви                                        ;10
4430               ;Сніданок                                                 ;10
4440               ;Здорова їжа                                              ;10
4450               ;Вегетаріанські страви                                    ;10
4460               ;Випічка                                                  ;10
4470               ;Вулична їжа                                              ;10
4480               ;Десерти                                                  ;10
4490               ;Напої                                                    ;10
4500               ;Морепродукти                                             ;10
4510               ;Піца                                                     ;10
4520               ;Суші                                                     ;10
